,name,number_votes,share_votes,district,affiliation
689,CZAKÓ ZOLTÁN,386,0.85,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 06. számú OEVK - Nyírbátor",MEMO
690,KOROKNAI ZSOLT,381,0.84,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSASZABOLCS-SZATMÁR-BEREG, 06. számú OEVK - Nyírbátor",Normal party
691,HORVÁTH ISTVÁN,22642,55.51,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 01. számú OEVK - Szekszárd",Fidesz/KDNP
692,DR. HARANGOZÓ TAMÁS,14279,35.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 01. számú OEVK - Szekszárd",Dialogue-coalition
693,PAPP TAMÁS,2361,5.79,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 01. számú OEVK - Szekszárd",Others
694,FARKAS LÁSZLÓ,1042,2.55,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 01. számú OEVK - Szekszárd",MKKP
695,HAJDU FERENC,383,0.94,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 01. számú OEVK - Szekszárd",MEMO
696,KERCSÓ MÁRTON,85,0.21,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 01. számú OEVK - Szekszárd",Others
697,SZENTPÉTERI ZSOLT,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 01. számú OEVK - Szekszárd",Normal party
698,ÜRMÖS M. ATTILA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 01. számú OEVK - Szekszárd",Others
699,BURAI KÁROLY,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 01. számú OEVK - Szekszárd",Others
700,POTÁPI ÁRPÁD JÁNOS,24362,62.44,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 02. számú OEVK - Dombóvár",Fidesz/KDNP
701,SZABÓ LORÁND,10536,27.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 02. számú OEVK - Dombóvár",Dialogue-coalition
702,TOBAK GÁBOR,2942,7.54,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 02. számú OEVK - Dombóvár",Others
703,BEA GÁBOR,601,1.54,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 02. számú OEVK - Dombóvár",Normal party
704,KŐMÜVES ATTILA,576,1.48,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 02. számú OEVK - Dombóvár",MEMO
705,SÜLI JÁNOS,25102,62.98,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 03. számú OEVK - Paks",Fidesz/KDNP
706,BENCZE JÁNOS,11107,27.87,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 03. számú OEVK - Paks",Dialogue-coalition
707,ÁRVAI TIBOR,2696,6.76,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 03. számú OEVK - Paks",Others
708,HALÁSZ GERGELY,518,1.3,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 03. számú OEVK - Paks",Normal party
709,LACZKÓ PÉTER,433,1.09,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSATOLNA, 03. számú OEVK - Paks",MEMO
710,DR. HENDE CSABA,25792,49.95,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 01. számú OEVK - Szombathely",Fidesz/KDNP
711,DR. CZEGLÉDY CSABA,20771,40.23,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 01. számú OEVK - Szombathely",Dialogue-coalition
712,DR. VADON ISTVÁN,2421,4.69,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 01. számú OEVK - Szombathely",Others
713,NAGY DÁVID,1585,3.07,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 01. számú OEVK - Szombathely",MKKP
714,TÖMBÖLY TAMÁS,530,1.03,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 01. számú OEVK - Szombathely",MEMO
715,HORVÁTH ÉVA,467,0.9,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 01. számú OEVK - Szombathely",Normal party
716,HEGEDÜS MÁTÉ,71,0.14,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 01. számú OEVK - Szombathely",Others
717,ABÉRT ZOLTÁN,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 01. számú OEVK - Szombathely",Others
718,ÁGH PÉTER,32226,64.38,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 02. számú OEVK - Sárvár",Fidesz/KDNP
719,HENCZ KORNÉL,13026,26.02,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 02. számú OEVK - Sárvár",Dialogue-coalition
720,GICZY JÓZSEF,2933,5.86,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 02. számú OEVK - Sárvár",Others
721,ZAKOTA TAMÁS,1137,2.27,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 02. számú OEVK - Sárvár",MKKP
722,HORVÁTH SÁNDOR,441,0.88,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 02. számú OEVK - Sárvár",MEMO
723,RUTKAI ZOLTÁN,294,0.59,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 02. számú OEVK - Sárvár",Normal party
724,V.NÉMETH ZSOLT,31938,66.4,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 03. számú OEVK - Körmend",Fidesz/KDNP
725,BANA TIBOR,12874,26.76,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 03. számú OEVK - Körmend",Dialogue-coalition
726,NÉMETI CSABA,2676,5.56,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 03. számú OEVK - Körmend",Others
727,DÁVID DÁVID,613,1.27,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 03. számú OEVK - Körmend",MEMO
728,HORVÁTH REZSŐ GYULA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 03. számú OEVK - Körmend",Others
729,NORMÁLIS PÁRT,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVAS, 03. számú OEVK - Körmend",Others
730,OVÁDI PÉTER,26119,50.48,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 01. számú OEVK - Veszprém",Fidesz/KDNP
731,CSONKA BALÁZS,20301,39.24,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 01. számú OEVK - Veszprém",Dialogue-coalition
732,KOVACSICS ZSOLT,3231,6.24,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 01. számú OEVK - Veszprém",Others
733,VÉRTESI BENJÁMIN,1484,2.87,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 01. számú OEVK - Veszprém",MKKP
734,SIMOR ISTVÁN,604,1.17,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 01. számú OEVK - Veszprém",MEMO
735,LŐRINC JÓZSEF,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 01. számú OEVK - Veszprém",Normal party
736,KONTRÁT KÁROLY,26762,50.99,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 02. számú OEVK - Balatonfüred",Fidesz/KDNP
737,BENEDEK SZILVESZTER,19172,36.53,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 02. számú OEVK - Balatonfüred",Dialogue-coalition
738,KOVÁCS ATTILA,3582,6.82,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 02. számú OEVK - Balatonfüred",Others
739,KÁRPÁTI ZOLTÁN,1765,3.36,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 02. számú OEVK - Balatonfüred",MKKP
740,BERTA ÁKOS,834,1.59,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 02. számú OEVK - Balatonfüred",MEMO
741,DALMADI RÓBERT,372,0.71,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 02. számú OEVK - Balatonfüred",Normal party
742,DR. NAVRACSICS TIBOR,23685,50.7,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 03. számú OEVK - Tapolca",Fidesz/KDNP
743,RIG LAJOS,20797,44.51,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 03. számú OEVK - Tapolca",Dialogue-coalition
744,SÁNDOR BALÁZS,1115,2.39,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 03. számú OEVK - Tapolca",MKKP
745,TAKÁCS LAJOS,727,1.56,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 03. számú OEVK - Tapolca",Others
746,FÓRIZS LAJOS,396,0.85,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 03. számú OEVK - Tapolca",MEMO
747,PÓCSI JÓZSEF,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 03. számú OEVK - Tapolca",Normal party
748,SZÁMADÓ ISTVÁN,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 03. számú OEVK - Tapolca",Others
749,DR. KOVÁCS ZOLTÁN,29806,62.7,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 04. számú OEVK - Pápa",Fidesz/KDNP
750,GRŐBER ATTILA,13826,29.09,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 04. számú OEVK - Pápa",Dialogue-coalition
751,TAKÁCS MÁTÉ,2702,5.68,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 04. számú OEVK - Pápa",Others
752,DOMJÁN ÁKOS,849,1.79,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 04. számú OEVK - Pápa",MKKP
753,DR. HORVÁTH GYULA,352,0.74,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAVESZPRÉM, 04. számú OEVK - Pápa",MEMO
754,VIGH LÁSZLÓ,31178,56.8,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 01. számú OEVK - Zalaegerszeg",Fidesz/KDNP
755,DR. CSIDEI IRÉN,16987,30.95,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 01. számú OEVK - Zalaegerszeg",Dialogue-coalition
756,KISS FERENC,3409,6.21,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 01. számú OEVK - Zalaegerszeg",Others
757,CSISZÁR VIKTOR,1414,2.58,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 01. számú OEVK - Zalaegerszeg",MKKP
758,KOLTAI TIBOR,694,1.26,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 01. számú OEVK - Zalaegerszeg",Others
759,SZÉP SZABOLCS,672,1.22,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 01. számú OEVK - Zalaegerszeg",MEMO
760,MARTON ÁDÁM,455,0.83,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 01. számú OEVK - Zalaegerszeg",Normal party
761,VIRÁG DEBÓRA,85,0.15,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 01. számú OEVK - Zalaegerszeg",Others
762,KIRÁLY PÉTER,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 01. számú OEVK - Zalaegerszeg",Others
763,NAGY BÁLINT,30734,59.84,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 02. számú OEVK - Keszthely",Fidesz/KDNP
764,ELEKES ISTVÁN,15467,30.11,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 02. számú OEVK - Keszthely",Dialogue-coalition
765,BEREI GÁBOR,3185,6.2,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 02. számú OEVK - Keszthely",Others
766,NÉMETH EMESE,1363,2.65,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 02. számú OEVK - Keszthely",MKKP
767,CSENDES JÓZSEF,611,1.19,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 02. számú OEVK - Keszthely",Normal party
768,DOMOKOS RITA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 02. számú OEVK - Keszthely",MEMO
769,CSERESNYÉS PÉTER,26126,52.98,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 03. számú OEVK - Nagykanizsa",Fidesz/KDNP
770,HORVÁTH JÁCINT,18466,37.45,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 03. számú OEVK - Nagykanizsa",Dialogue-coalition
771,HOKKER TIBOR,2711,5.5,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 03. számú OEVK - Nagykanizsa",Others
772,NAGY DÁVID,975,1.98,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 03. számú OEVK - Nagykanizsa",MKKP
773,BORDA BALÁZS,504,1.02,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 03. számú OEVK - Nagykanizsa",Normal party
774,BARNA TAMÁS,410,0.83,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 03. számú OEVK - Nagykanizsa",MEMO
775,SZÉKELY SÁNDOR,122,0.25,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 03. számú OEVK - Nagykanizsa",Others
776,KOPASZ RÓBERT,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAZALA, 03. számú OEVK - Nagykanizsa",Others
