name,year,total_loan,average_loan (in years),appearances,starting_formation,goals,average_minutes_played,market_value_at_start (in M €),market_value_at_end (in M €)
Celta de Vigo,2015,4,"1,0",74,59,1,89',4.50,4.30
Villarreal CF,2015,4,"1,0",107,78,2,88',10.20,8.20
SD Eibar,2015,4,"1,0",68,40,6,88',1.70,0.9
Deportivo de La Coruña,2015,3,"2,0",87,77,6,81',4.00,4.00
Levante UD,2015,3,"1,0",72,55,30,86',2.70,3.20
Sevilla FC,2015,2,"1,0",23,19,6,79',13.50,13.00
Sporting Gijón,2015,0,-,-,-,-,-,-,-
Getafe CF,2015,0,-,-,-,-,-,-,-
Atlético de Madrid,2016,14,"1,0",360,259,64,88',60.20,68.50
Granada CF,2016,10,"2,0",142,107,6,86',12.60,17.20
Deportivo de La Coruña,2016,9,"1,0",165,137,14,85',11.40,11.40
Villarreal CF,2016,9,"1,0",111,75,8,79',23.10,15.60
SD Eibar,2016,9,"1,0",160,124,7,81',1.65,2.35
Valencia CF,2016,8,"1,0",170,146,26,88',23.20,23.90
Real Madrid,2016,7,"2,0",184,136,8,85',14.10,40.50
Athletic Bilbao,2016,7,"1,0",102,72,8,83',8.60,9.60
RCD Espanyol Barcelona,2016,6,"1,0",145,115,20,84',3.90,7.00
FC Barcelona,2016,5,"1,0",135,93,14,88',30.00,25.00
Real Betis Balompié,2016,5,"1,0",109,92,12,81',7.50,6.80
Real Sociedad,2016,5,"1,0",103,91,5,84',6.80,6.55
Celta de Vigo,2016,5,"1,0",111,81,7,80',8.80,6.40
Sevilla FC,2016,4,"1,0",76,35,13,84',28.80,13.60
UD Las Palmas,2016,4,"1,0",114,86,32,86',3.50,3.60
Málaga CF,2016,4,"1,0",139,106,16,87',6.50,6.40
Sporting Gijón,2016,2,"1,0",41,27,2,62',2.20,1.60
CA Osasuna,2016,0,-,-,-,-,-,-,-
Deportivo Alavés,2016,0,-,-,-,-,-,-,-
CD Leganés,2016,0,-,-,-,-,-,-,-
Málaga CF,2017,10,"1,0",196,151,32,85',12.50,12.10
Celta de Vigo,2017,9,"1,0",133,105,13,80',17.30,18.70
Valencia CF,2017,9,"1,0",163,104,10,80',49.30,53.60
SD Eibar,2017,9,"1,0",230,179,19,85',6.90,7.50
Atlético de Madrid,2017,8,"1,0",153,122,33,80',48.00,53.50
Villarreal CF,2017,8,"2,0",157,107,19,84',28.80,31.40
Getafe CF,2017,8,"1,0",170,135,16,81',7.00,8.00
FC Barcelona,2017,7,"1,0",115,91,19,76',60.00,64.55
Real Betis Balompié,2017,7,"1,0",101,84,8,84',17.20,21.20
